YYYY,MM,DD,Date,Where,Site,SST_MIN,SST_MAX,Temperature,SSTA@90th_HS,90th_HS>0,DHW,BAA_7day_max,Fill
2014,3,5,2014-03-05,Satellite,NOAA,27.86,28.34,28.17,-0.0214,0,0,0,
2014,3,6,2014-03-06,Satellite,NOAA,27.84,28.34,28.16,0.0007,0,0,0,
2014,3,7,2014-03-07,Satellite,NOAA,27.96,28.43,28.28,0.0429,0,0,0,
2014,3,8,2014-03-08,Satellite,NOAA,27.76,28.25,28.1,-0.1575,0,0,0,
2014,3,9,2014-03-09,Satellite,NOAA,27.8,28.15,28.07,-0.1279,0,0,0,
2014,3,10,2014-03-10,Satellite,NOAA,27.91,28.22,28.2,-0.0393,0,0,0,
2014,3,11,2014-03-11,Satellite,NOAA,27.34,28.31,28.2,0.0129,0,0,0,
2014,3,12,2014-03-12,Satellite,NOAA,27.26,28.39,28.26,0.055,0,0,0,
2014,3,13,2014-03-13,Satellite,NOAA,27.26,27.95,27.86,-0.2886,0,0,0,
2014,3,14,2014-03-14,Satellite,NOAA,27.28,27.82,27.75,-0.3304,0,0,0,
2014,3,15,2014-03-15,Satellite,NOAA,27.3,27.86,27.75,-0.33,0,0,0,
2014,3,16,2014-03-16,Satellite,NOAA,27.4,27.9,27.75,-0.2419,0,0,0,
2014,3,17,2014-03-17,Satellite,NOAA,27.54,28.13,27.99,-0.001,0,0,0,
2014,3,18,2014-03-18,Satellite,NOAA,27.69,28.13,28.05,0.0939,0,0,0,
2014,3,19,2014-03-19,Satellite,NOAA,27.42,27.85,27.76,-0.1635,0,0,0,
2014,3,20,2014-03-20,Satellite,NOAA,27.25,27.83,27.68,-0.31,0,0,0,
2014,3,21,2014-03-21,Satellite,NOAA,27.36,28.04,27.97,0.0277,0,0,0,
2014,3,22,2014-03-22,Satellite,NOAA,27.43,28.34,28.12,0.2045,0,0,0,
2014,3,23,2014-03-23,Satellite,NOAA,26.97,27.91,27.74,-0.1148,0,0,0,
2014,3,24,2014-03-24,Satellite,NOAA,26.98,27.93,27.75,-0.0742,0,0,0,
2014,3,25,2014-03-25,Satellite,NOAA,26.93,27.85,27.64,-0.1665,0,0,0,
2014,3,26,2014-03-26,Satellite,NOAA,27.15,28.11,27.81,-0.0006,0,0,0,
2014,3,27,2014-03-27,Satellite,NOAA,27.53,28.57,28.3,0.4706,0,0,0,
2014,3,28,2014-03-28,Satellite,NOAA,27.67,28.53,28.26,0.5074,0,0,0,
2014,3,29,2014-03-29,Satellite,NOAA,27.91,28.41,28.22,0.5845,0,0,0,
2014,3,30,2014-03-30,Satellite,NOAA,27.72,28.43,28.17,0.4952,0,0,0,
2014,3,31,2014-03-31,Satellite,NOAA,27.78,28.57,28.13,0.4594,0,0,0,
2014,4,1,2014-04-01,Satellite,NOAA,27.51,28.22,27.85,0.2026,0,0,0,
2014,4,2,2014-04-02,Satellite,NOAA,27.43,28.22,27.96,0.3368,0,0,0,
2014,4,3,2014-04-03,Satellite,NOAA,27.4,28.34,28.02,0.4516,0,0,0,
2014,4,4,2014-04-04,Satellite,NOAA,27.34,28.27,28.03,0.4542,0,0,0,
2014,4,5,2014-04-05,Satellite,NOAA,27.48,28.36,27.93,0.4197,0,0,0,
2014,4,6,2014-04-06,Satellite,NOAA,27.4,28.37,28.03,0.5229,0,0,0,
2014,4,7,2014-04-07,Satellite,NOAA,27.5,28.29,28.03,0.5777,0,0,0,
2014,4,8,2014-04-08,Satellite,NOAA,27.29,27.94,27.91,0.6739,0,0,0,
2014,4,9,2014-04-09,Satellite,NOAA,27.03,27.78,27.73,0.5229,0,0,0,
2014,4,10,2014-04-10,Satellite,NOAA,26.78,27.61,27.51,0.3139,0,0,0,
2014,4,11,2014-04-11,Satellite,NOAA,26.63,27.51,27.44,0.2945,0,0,0,
2014,4,12,2014-04-12,Satellite,NOAA,26.11,27.13,26.94,-0.1516,0,0,0,
2014,4,13,2014-04-13,Satellite,NOAA,26.31,27.3,27.16,0.1135,0,0,0,
2014,4,14,2014-04-14,Satellite,NOAA,27.15,27.98,27.63,0.531,0,0,0,
2014,4,15,2014-04-15,Satellite,NOAA,26.4,27.61,27.33,0.26,0,0,0,
2014,4,16,2014-04-16,Satellite,NOAA,26.54,27.85,27.42,0.3617,0,0,0,
2014,4,17,2014-04-17,Satellite,NOAA,26.93,27.81,27.53,0.44,0,0,0,
2014,4,18,2014-04-18,Satellite,NOAA,27.03,27.86,27.68,0.542,0,0,0,
2014,4,19,2014-04-19,Satellite,NOAA,27.23,28.28,28.12,1.0033,0,0,0,
2014,4,20,2014-04-20,Satellite,NOAA,26.91,27.7,27.56,0.63,0,0,0,
2014,4,21,2014-04-21,Satellite,NOAA,26.75,27.61,27.44,0.57,0,0,0,
2014,4,22,2014-04-22,Satellite,NOAA,26.61,27.55,27.35,0.3533,0,0,0,
2014,4,23,2014-04-23,Satellite,NOAA,26.66,27.76,27.45,0.5853,0,0,0,
2014,4,24,2014-04-24,Satellite,NOAA,26.69,27.75,27.47,0.562,0,0,0,
2014,4,25,2014-04-25,Satellite,NOAA,26.32,27.88,27.38,0.4767,0,0,0,
2014,4,26,2014-04-26,Satellite,NOAA,26.61,27.6,27.43,0.564,0,0,0,
2014,4,27,2014-04-27,Satellite,NOAA,26.71,27.73,27.48,0.702,0,0,0,
2014,4,28,2014-04-28,Satellite,NOAA,26.71,27.76,27.43,0.5933,0,0,0,
2014,4,29,2014-04-29,Satellite,NOAA,26.59,27.66,27.49,0.7793,0,0,0,
2014,4,30,2014-04-30,Satellite,NOAA,26.73,27.63,27.46,0.76,0,0,0,
2014,5,1,2014-05-01,Satellite,NOAA,26.55,27.68,27.4,0.8847,0,0,0,
2014,5,2,2014-05-02,Satellite,NOAA,26.79,27.93,27.69,1.028,0,0,0,
2014,5,3,2014-05-03,Satellite,NOAA,26.53,27.61,27.29,0.908,0,0,0,
2014,5,4,2014-05-04,Satellite,NOAA,26.42,27.46,27.16,0.7847,0,0,0,
2014,5,5,2014-05-05,Satellite,NOAA,26.3,27.17,26.99,0.67,0,0,0,
2014,5,6,2014-05-06,Satellite,NOAA,26.23,27.14,26.96,0.858,0,0,0,
2014,5,7,2014-05-07,Satellite,NOAA,26.01,27.02,26.76,0.616,0,0,0,
2014,5,8,2014-05-08,Satellite,NOAA,26.05,27.18,26.91,0.674,0,0,0,
2014,5,9,2014-05-09,Satellite,NOAA,26.12,27.22,27.06,0.672,0,0,0,
2014,5,10,2014-05-10,Satellite,NOAA,25.93,27.18,26.96,0.73,0,0,0,
2014,5,11,2014-05-11,Satellite,NOAA,25.63,27.07,26.78,0.3967,0,0,0,
2014,5,12,2014-05-12,Satellite,NOAA,25.55,26.99,26.73,0.351,0,0,0,
2014,5,13,2014-05-13,Satellite,NOAA,25.52,26.84,26.59,0.382,0,0,0,
2014,5,14,2014-05-14,Satellite,NOAA,25.37,26.85,26.54,0.454,0,0,0,
2014,5,15,2014-05-15,Satellite,NOAA,25.41,26.8,26.49,0.5,0,0,0,
2014,5,16,2014-05-16,Satellite,NOAA,25.28,26.81,26.6,0.3568,0,0,0,
2014,5,17,2014-05-17,Satellite,NOAA,25.11,26.88,26.56,0.4661,0,0,0,
2014,5,18,2014-05-18,Satellite,NOAA,24.99,26.93,26.53,0.481,0,0,0,
2014,5,19,2014-05-19,Satellite,NOAA,24.84,26.79,26.37,0.4774,0,0,0,
2014,5,20,2014-05-20,Satellite,NOAA,24.82,26.63,26.35,0.4035,0,0,0,
2014,5,21,2014-05-21,Satellite,NOAA,24.71,26.76,26.42,0.4484,0,0,0,
2014,5,22,2014-05-22,Satellite,NOAA,24.75,26.73,26.32,0.5455,0,0,0,
2014,5,23,2014-05-23,Satellite,NOAA,24.56,26.79,26.3,0.4023,0,0,0,
2014,5,24,2014-05-24,Satellite,NOAA,24.75,26.87,26.33,0.4355,0,0,0,
2014,5,25,2014-05-25,Satellite,NOAA,24.81,26.98,26.56,0.7539,0,0,0,
2014,5,26,2014-05-26,Satellite,NOAA,24.81,26.88,26.47,0.7223,0,0,0,
2014,5,27,2014-05-27,Satellite,NOAA,24.77,26.94,26.43,0.8884,0,0,0,
2014,5,28,2014-05-28,Satellite,NOAA,24.76,26.95,26.4,0.8806,0,0,0,
2014,5,29,2014-05-29,Satellite,NOAA,24.79,26.95,26.53,0.9003,0,0,0,
2014,5,30,2014-05-30,Satellite,NOAA,24.67,26.78,26.37,0.8106,0,0,0,
2014,5,31,2014-05-31,Satellite,NOAA,24.49,26.88,26.35,0.7332,0,0,0,
2014,6,1,2014-06-01,Satellite,NOAA,24.29,26.62,26.23,0.7481,0,0,0,
2014,6,2,2014-06-02,Satellite,NOAA,24.64,26.82,26.43,0.9252,0,0,0,
2014,6,3,2014-06-03,Satellite,NOAA,24.59,26.69,26.32,0.8677,0,0,0,
2014,6,4,2014-06-04,Satellite,NOAA,24.7,26.36,26.15,0.9106,0,0,0,
2014,6,5,2014-06-05,Satellite,NOAA,24.61,26.46,26.18,0.8261,0,0,0,
2014,6,6,2014-06-06,Satellite,NOAA,24.37,26.64,26.23,0.8474,0,0,0,
2014,6,7,2014-06-07,Satellite,NOAA,24.24,26.58,26.21,0.9155,0,0,0,
2014,6,8,2014-06-08,Satellite,NOAA,24.06,26.29,25.97,0.7135,0,0,0,
2014,6,9,2014-06-09,Satellite,NOAA,23.92,26.32,25.87,0.8258,0,0,0,
2014,6,10,2014-06-10,Satellite,NOAA,23.87,26.26,25.8,0.8081,0,0,0,
2014,6,11,2014-06-11,Satellite,NOAA,23.66,26.4,25.84,0.5842,0,0,0,
2014,6,12,2014-06-12,Satellite,NOAA,23.84,26.45,25.83,0.7319,0,0,0,
2014,6,13,2014-06-13,Satellite,NOAA,23.93,26.74,26.02,0.9726,0,0,0,
2014,6,14,2014-06-14,Satellite,NOAA,24.04,26.79,26.06,0.9135,0,0,0,
2014,6,15,2014-06-15,Satellite,NOAA,24.01,26.55,25.83,0.89,0,0,0,
2014,6,16,2014-06-16,Satellite,NOAA,23.63,26.27,25.64,0.5677,0,0,0,
2014,6,17,2014-06-17,Satellite,NOAA,23.16,25.99,25.36,0.3347,0,0,0,
2014,6,18,2014-06-18,Satellite,NOAA,22.94,25.81,25.26,0.214,0,0,0,
2014,6,19,2014-06-19,Satellite,NOAA,23.06,25.85,25.38,0.782,0,0,0,
2014,6,20,2014-06-20,Satellite,NOAA,22.91,25.77,25.43,0.85,0,0,0,
2014,6,21,2014-06-21,Satellite,NOAA,22.9,25.77,25.51,0.828,0,0,0,
2014,6,22,2014-06-22,Satellite,NOAA,22.9,25.77,25.33,0.7583,0,0,0,
2014,6,23,2014-06-23,Satellite,NOAA,23.01,25.89,25.34,0.734,0,0,0,
2014,6,24,2014-06-24,Satellite,NOAA,23.11,25.94,25.49,0.982,0,0,0,
2014,6,25,2014-06-25,Satellite,NOAA,23.22,26.2,25.51,0.9,0,0,0,
2014,6,26,2014-06-26,Satellite,NOAA,23.01,25.99,25.51,0.7123,0,0,0,
2014,6,27,2014-06-27,Satellite,NOAA,22.98,25.96,25.48,0.946,0,0,0,
2014,6,28,2014-06-28,Satellite,NOAA,23.15,26.22,25.65,0.945,0,0,0,
2014,6,29,2014-06-29,Satellite,NOAA,22.94,25.88,25.57,0.9487,0,0,0,
2014,6,30,2014-06-30,Satellite,NOAA,22.38,25.7,25.36,0.59,0,0,0,
2014,7,1,2014-07-01,Satellite,NOAA,22.48,25.6,25.36,0.786,0,0,0,
2014,7,2,2014-07-02,Satellite,NOAA,22.45,25.53,25.35,0.745,0,0,0,
2014,7,3,2014-07-03,Satellite,NOAA,22.56,25.44,25.22,0.59,0,0,0,
2014,7,4,2014-07-04,Satellite,NOAA,22.19,25.54,25.23,0.534,0,0,0,
2014,7,5,2014-07-05,Satellite,NOAA,22.03,25.55,25.25,0.5633,0,0,0,
2014,7,6,2014-07-06,Satellite,NOAA,22.21,25.56,25.34,0.824,0,0,0,
2014,7,7,2014-07-07,Satellite,NOAA,22.39,25.58,25.33,0.6693,0,0,0,
2014,7,8,2014-07-08,Satellite,NOAA,22.08,25.67,25.3,0.6387,0,0,0,
2014,7,9,2014-07-09,Satellite,NOAA,22.06,25.61,25.28,0.584,0,0,0,
2014,7,10,2014-07-10,Satellite,NOAA,22.23,25.61,25.28,0.715,0,0,0,
2014,7,11,2014-07-11,Satellite,NOAA,22.16,25.49,25.26,0.6507,0,0,0,
2014,7,12,2014-07-12,Satellite,NOAA,22.23,25.36,25.03,0.509,0,0,0,
2014,7,13,2014-07-13,Satellite,NOAA,22.03,25.33,24.9,0.5633,0,0,0,
2014,7,14,2014-07-14,Satellite,NOAA,22,25.21,24.82,0.3123,0,0,0,
2014,7,15,2014-07-15,Satellite,NOAA,22.28,25.14,24.73,0.48,0,0,0,
2014,7,16,2014-07-16,Satellite,NOAA,22.4,25.12,24.79,0.5332,0,0,0,
2014,7,17,2014-07-17,Satellite,NOAA,22.55,25.17,24.86,0.8052,0,0,0,
2014,7,18,2014-07-18,Satellite,NOAA,22.45,25.23,24.93,0.6655,0,0,0,
2014,7,19,2014-07-19,Satellite,NOAA,21.95,25,24.62,0.4255,0,0,0,
2014,7,20,2014-07-20,Satellite,NOAA,21.91,24.98,24.67,0.4445,0,0,0,
2014,7,21,2014-07-21,Satellite,NOAA,22.11,24.75,24.59,0.3571,0,0,0,
2014,7,22,2014-07-22,Satellite,NOAA,22.37,24.79,24.56,0.3658,0,0,0,
2014,7,23,2014-07-23,Satellite,NOAA,22.29,24.93,24.67,0.4587,0,0,0,
2014,7,24,2014-07-24,Satellite,NOAA,22.39,24.89,24.82,0.6732,0,0,0,
2014,7,25,2014-07-25,Satellite,NOAA,22.5,25.01,24.74,0.5216,0,0,0,
2014,7,26,2014-07-26,Satellite,NOAA,22.55,24.87,24.68,0.4832,0,0,0,
2014,7,27,2014-07-27,Satellite,NOAA,22.44,24.95,24.65,0.3887,0,0,0,
2014,7,28,2014-07-28,Satellite,NOAA,22.52,25.01,24.69,0.461,0,0,0,
2014,7,29,2014-07-29,Satellite,NOAA,22.54,25.03,24.79,0.381,0,0,0,
2014,7,30,2014-07-30,Satellite,NOAA,22.57,24.87,24.51,0.3326,0,0,0,
2014,7,31,2014-07-31,Satellite,NOAA,22.78,24.97,24.69,0.4261,0,0,0,
2014,8,1,2014-08-01,Satellite,NOAA,22.88,24.89,24.71,0.5139,0,0,0,
2014,8,2,2014-08-02,Satellite,NOAA,22.99,25.05,24.64,0.4723,0,0,0,
2014,8,3,2014-08-03,Satellite,NOAA,22.86,25.15,24.77,0.4752,0,0,0,
2014,8,4,2014-08-04,Satellite,NOAA,22.83,25.18,24.72,0.3913,0,0,0,
2014,8,5,2014-08-05,Satellite,NOAA,22.83,24.84,24.54,0.2429,0,0,0,
2014,8,6,2014-08-06,Satellite,NOAA,22.61,24.77,24.52,0.2058,0,0,0,
2014,8,7,2014-08-07,Satellite,NOAA,22.47,24.83,24.65,0.2832,0,0,0,
2014,8,8,2014-08-08,Satellite,NOAA,22.39,24.87,24.57,0.2645,0,0,0,
2014,8,9,2014-08-09,Satellite,NOAA,22.43,24.81,24.51,0.1632,0,0,0,
2014,8,10,2014-08-10,Satellite,NOAA,22.04,24.75,24.49,0.1513,0,0,0,
2014,8,11,2014-08-11,Satellite,NOAA,22.26,24.82,24.57,0.3026,0,0,0,
2014,8,12,2014-08-12,Satellite,NOAA,22.28,24.79,24.46,0.1958,0,0,0,
2014,8,13,2014-08-13,Satellite,NOAA,22.3,24.89,24.45,0.4029,0,0,0,
2014,8,14,2014-08-14,Satellite,NOAA,22.2,24.5,24.1,0.0061,0,0,0,
2014,8,15,2014-08-15,Satellite,NOAA,22.14,24.59,24.2,-0.03,0,0,0,
2014,8,16,2014-08-16,Satellite,NOAA,22.44,25.38,24.97,0.6052,0,0,0,
2014,8,17,2014-08-17,Satellite,NOAA,22.66,25.29,24.8,0.7439,0,0,0,
2014,8,18,2014-08-18,Satellite,NOAA,22.63,25.07,24.62,0.5558,0,0,0,
2014,8,19,2014-08-19,Satellite,NOAA,22.64,25.16,24.67,0.3668,0,0,0,
2014,8,20,2014-08-20,Satellite,NOAA,22.63,25.25,24.59,0.341,0,0,0,
2014,8,21,2014-08-21,Satellite,NOAA,22.56,25.16,24.64,0.3013,0,0,0,
2014,8,22,2014-08-22,Satellite,NOAA,22.52,25.08,24.44,0.2758,0,0,0,
2014,8,23,2014-08-23,Satellite,NOAA,22.9,25.16,24.65,0.3732,0,0,0,
2014,8,24,2014-08-24,Satellite,NOAA,22.82,25.09,24.73,0.2903,0,0,0,
2014,8,25,2014-08-25,Satellite,NOAA,22.83,25,24.72,0.2955,0,0,0,
2014,8,26,2014-08-26,Satellite,NOAA,22.82,25.09,24.68,0.3013,0,0,0,
2014,8,27,2014-08-27,Satellite,NOAA,22.86,25.03,24.64,0.3071,0,0,0,
2014,8,28,2014-08-28,Satellite,NOAA,22.82,25.08,24.68,0.381,0,0,0,
2014,8,29,2014-08-29,Satellite,NOAA,22.87,24.96,24.65,0.2242,0,0,0,
2014,8,30,2014-08-30,Satellite,NOAA,22.81,24.8,24.58,0.1535,0,0,0,
2014,8,31,2014-08-31,Satellite,NOAA,22.84,24.75,24.52,0.1261,0,0,0,
2014,9,1,2014-09-01,Satellite,NOAA,22.84,24.91,24.66,0.1029,0,0,0,
2014,9,2,2014-09-02,Satellite,NOAA,23.16,25.22,24.94,0.2261,0,0,0,
2014,9,3,2014-09-03,Satellite,NOAA,23.04,25.01,24.71,0.2461,0,0,0,
2014,9,4,2014-09-04,Satellite,NOAA,23.03,25.02,24.74,0.1665,0,0,0,
2014,9,5,2014-09-05,Satellite,NOAA,23.14,24.97,24.67,0.0874,0,0,0,
2014,9,6,2014-09-06,Satellite,NOAA,23.18,24.89,24.56,0.0071,0,0,0,
2014,9,7,2014-09-07,Satellite,NOAA,23.27,25.07,24.51,-0.1277,0,0,0,
2014,9,8,2014-09-08,Satellite,NOAA,23.38,25.73,25.11,0.5023,0,0,0,
2014,9,9,2014-09-09,Satellite,NOAA,23.61,24.96,24.78,0.0687,0,0,0,
2014,9,10,2014-09-10,Satellite,NOAA,23.75,25.03,24.83,0.1632,0,0,0,
2014,9,11,2014-09-11,Satellite,NOAA,23.9,25,24.84,0.3184,0,0,0,
2014,9,12,2014-09-12,Satellite,NOAA,24.19,24.96,24.73,0.1552,0,0,0,
2014,9,13,2014-09-13,Satellite,NOAA,24.04,25.12,24.8,-0.0006,0,0,0,
2014,9,14,2014-09-14,Satellite,NOAA,23.83,24.88,24.71,-0.1,0,0,0,
2014,9,15,2014-09-15,Satellite,NOAA,23.86,25.01,24.8,0.01,0,0,0,
2014,9,16,2014-09-16,Satellite,NOAA,24.05,25.11,24.82,0.1557,0,0,0,
2014,9,17,2014-09-17,Satellite,NOAA,24.29,25.14,25.01,0.206,0,0,0,
2014,9,18,2014-09-18,Satellite,NOAA,24.26,25.24,24.92,0.12,0,0,0,
2014,9,19,2014-09-19,Satellite,NOAA,23.94,24.84,24.58,0.08,0,0,0,
2014,9,20,2014-09-20,Satellite,NOAA,24.06,24.92,24.72,-0.1733,0,0,0,
2014,9,21,2014-09-21,Satellite,NOAA,23.83,24.67,24.59,-0.206,0,0,0,
2014,9,22,2014-09-22,Satellite,NOAA,23.76,24.76,24.57,-0.464,0,0,0,
2014,9,23,2014-09-23,Satellite,NOAA,23.57,24.7,24.51,-0.2467,0,0,0,
2014,9,24,2014-09-24,Satellite,NOAA,24.18,25.22,25.01,-0.066,0,0,0,
2014,9,25,2014-09-25,Satellite,NOAA,24.37,25.12,25.04,0.1,0,0,0,
2014,9,26,2014-09-26,Satellite,NOAA,24.52,25.48,25.19,0.1233,0,0,0,
2014,9,27,2014-09-27,Satellite,NOAA,24.29,25.38,25.2,-0.008,0,0,0,
2014,9,28,2014-09-28,Satellite,NOAA,24.85,25.59,25.39,0.1743,0,0,0,
2014,9,29,2014-09-29,Satellite,NOAA,24.83,25.51,25.28,0.1233,0,0,0,
2014,9,30,2014-09-30,Satellite,NOAA,24.64,25.57,25.26,0.06,0,0,0,
2014,10,1,2014-10-01,Satellite,NOAA,24.81,25.4,25.3,0.106,0,0,0,
2014,10,2,2014-10-02,Satellite,NOAA,24.57,25.33,25.09,0.0037,0,0,0,
2014,10,3,2014-10-03,Satellite,NOAA,24.53,25.29,25.14,0.052,0,0,0,
2014,10,4,2014-10-04,Satellite,NOAA,24.74,25.41,25.2,-0.208,0,0,0,
2014,10,5,2014-10-05,Satellite,NOAA,24.7,25.38,25.23,0.0633,0,0,0,
2014,10,6,2014-10-06,Satellite,NOAA,24.42,25.33,25.16,0.029,0,0,0,
2014,10,7,2014-10-07,Satellite,NOAA,24.69,25.48,25.21,-0.0207,0,0,0,
2014,10,8,2014-10-08,Satellite,NOAA,24.73,25.74,25.32,0.078,0,0,0,
2014,10,9,2014-10-09,Satellite,NOAA,25,25.74,25.58,0.09,0,0,0,
2014,10,10,2014-10-10,Satellite,NOAA,25,25.84,25.59,0.095,0,0,0,
2014,10,11,2014-10-11,Satellite,NOAA,25.07,25.95,25.67,0.132,0,0,0,
2014,10,12,2014-10-12,Satellite,NOAA,25.05,25.93,25.71,0.156,0,0,0,
2014,10,13,2014-10-13,Satellite,NOAA,25.24,26.22,25.88,0.32,0,0,0,
